Element,Radionuclide,Common name,Latin name,Compartment,CR,C_plant,C_soil,Country,Site,K-G class,Contamination,Experiment,Soil depth
Ra,Ra-226,"Cassava, tapioca",Manihot esculenta,Roots,1.10E+00,1.30E+02,1.10E+02,Malaysia,"Puchong, Selangor State",Af,N,F,0-20
Th,Th-232,"Cassava, tapioca",Manihot esculenta,Roots,3.00E-01,3.00E+00,8.50E+00,Malaysia,"Puchong, Selangor State",Af,N,F,0-20
K,K-40,"Cassava, tapioca",Manihot esculenta,Roots,1.10E+00,8.40E+02,7.50E+02,Malaysia,"Puchong, Selangor State",Af,N,F,0-20
Y,Y-88,"Cassava, tapioca",Manihot esculenta,Roots,2.50E-01,7.00E+00,2.90E+01,Malaysia,"Puchong, Selangor State",Af,N,F,0-20
Ra,Ra-226,Sweet potato,Ipomoea batatas,Tubers,5.80E-01,6.70E+01,1.10E+02,Malaysia,"Puchong, Selangor State",Af,N,F,0-20
Th,Th-232,Sweet potato,Ipomoea batatas,Tubers,9.20E-01,8.00E+00,8.50E+00,Malaysia,"Puchong, Selangor State",Af,N,F,0-20
K,K-40,Sweet potato,Ipomoea batatas,Tubers,3.30E+00,2.50E+03,7.50E+02,Malaysia,"Puchong, Selangor State",Af,N,F,0-20
Ra,Ra-226,"Cassava, tapioca",Manihot esculenta,Roots,1.00E+00,9.60E+01,9.10E+01,Malaysia,"Chemor, Perak State",Af,N,F,0-20
Th,Th-232,"Cassava, tapioca",Manihot esculenta,Roots,2.80E-01,1.70E+01,5.10E+01,Malaysia,"Chemor, Perak State",Af,N,F,0-20
K,K-40,"Cassava, tapioca",Manihot esculenta,Roots,2.00E+00,8.40E+02,4.10E+02,Malaysia,"Chemor, Perak State",Af,N,F,0-20
Ra,Ra-226,Sweet potato,Ipomoea batatas,Tubers,8.20E-01,7.60E+01,9.10E+01,Malaysia,"Chemor, Perak State",Af,N,F,0-20
Th,Th-232,Sweet potato,Ipomoea batatas,Tubers,3.30E-01,1.70E+01,5.10E+01,Malaysia,"Chemor, Perak State",Af,N,F,0-20
K,K-40,Sweet potato,Ipomoea batatas,Tubers,6.90E-01,2.80E+02,4.10E+02,Malaysia,"Chemor, Perak State",Af,N,F,0-20
Ra,Ra-226,"Cassava, tapioca",Manihot esculenta,Roots,7.70E-01,1.00E+02,1.30E+02,Malaysia,"Lembah Beringin, Selangor State",Af,N,F,0-20
Th,Th-232,"Cassava, tapioca",Manihot esculenta,Roots,1.70E+00,4.20E+01,2.50E+01,Malaysia,"Lembah Beringin, Selangor State",Af,N,F,0-20
K,K-40,"Cassava, tapioca",Manihot esculenta,Roots,1.10E-01,5.60E+01,5.20E+02,Malaysia,"Lembah Beringin, Selangor State",Af,N,F,0-20
Y,Y-88,"Cassava, tapioca",Manihot esculenta,Roots,6.10E-01,1.20E+01,1.90E+01,Malaysia,"Lembah Beringin, Selangor State",Af,N,F,0-20
Ra,Ra-226,"Cassava, tapioca",Manihot esculenta,Roots,8.10E-01,8.70E+01,1.10E+02,Malaysia,"Lembah Beringin, Selangor State",Af,N,F,0-20
Th,Th-232,"Cassava, tapioca",Manihot esculenta,Roots,4.70E-01,4.30E+01,9.10E+01,Malaysia,"Lembah Beringin, Selangor State",Af,N,F,0-20
K,K-40,"Cassava, tapioca",Manihot esculenta,Roots,8.00E-01,8.00E+02,9.90E+02,Malaysia,"Lembah Beringin, Selangor State",Af,N,F,0-20
Po,Po-210,Tulsi,Ocimum sanctum,Leaves,3.70E+00,6.40E+01,1.70E+01,India,"Dakshina Kannada District, Karnataka State",Am,N,F,0-15
Po,Po-210,Thimare,Centella asiatica,Leaves,1.60E+00,3.50E+01,2.10E+01,India,"Dakshina Kannada District, Karnataka State",Am,N,F,0-15
Po,Po-210,Ettovu,Clerodendrum viscosum,Leaves,2.90E+00,4.80E+01,1.60E+01,India,"Dakshina Kannada District, Karnataka State",Am,N,F,0-15
Po,Po-210,Daddala,Careya arborea,Leaves,2.50E+00,2.90E+01,1.10E+01,India,"Dakshina Kannada District, Karnataka State",Am,N,F,0-15
Po,Po-210,Sambrani,Plectranthus amboinicus,Leaves,1.90E+00,5.60E+01,2.90E+01,India,"Dakshina Kannada District, Karnataka State",Am,N,F,0-15
Po,Po-210,Arashina,Curcuma longa,Rhizomes,1.00E-01,3.30E+00,4.30E+01,India,"Dakshina Kannada District, Karnataka State",Am,N,F,0-15
Po,Po-210,Nachige mullu,Mimosa pudica,Whole plant,3.20E+00,1.50E+01,4.70E+00,India,"Dakshina Kannada District, Karnataka State",Am,N,F,0-15
Po,Po-210,Adusoge,Justicia adhatoda,Leaves,9.00E-01,1.10E+01,1.20E+01,India,"Dakshina Kannada District, Karnataka State",Am,N,F,0-15
Po,Po-210,Haale,Alstonia scholaris,Bark,9.00E-01,1.40E+01,1.60E+01,India,"Dakshina Kannada District, Karnataka State",Am,N,F,0-15
Po,Po-210,Naga sampige,Mesua ferrea,Bark,6.00E-01,1.40E+01,2.30E+01,India,"Dakshina Kannada District, Karnataka State",Am,N,F,0-15
Po,Po-210,Enjeeru,Calycopteris floribunda,Leaves,1.20E+00,2.10E+01,1.70E+01,India,"Dakshina Kannada District, Karnataka State",Am,N,F,0-15
Po,Po-210,Kottemullu,Ziziphus rugosa,Bark,5.00E-01,9.70E+00,2.00E+01,India,"Dakshina Kannada District, Karnataka State",Am,N,F,0-15
Pb,Pb-210,Tulsi,Ocimum sanctum,Leaves,7.00E+00,4.10E+02,5.80E+01,India,"Dakshina Kannada District, Karnataka State",Am,N,F,0-15
Pb,Pb-210,Thimare,Centella asiatica,Leaves,2.20E+00,1.40E+02,6.30E+01,India,"Dakshina Kannada District, Karnataka State",Am,N,F,0-15
Pb,Pb-210,Ettovu,Clerodendrum viscosum,Leaves,4.60E+00,2.50E+02,5.50E+01,India,"Dakshina Kannada District, Karnataka State",Am,N,F,0-15
Pb,Pb-210,Daddala,Careya arborea,Leaves,2.60E+00,1.20E+02,4.60E+01,India,"Dakshina Kannada District, Karnataka State",Am,N,F,0-15
Pb,Pb-210,Sambrani,Plectranthus amboinicus,Leaves,3.70E+00,3.20E+02,8.70E+01,India,"Dakshina Kannada District, Karnataka State",Am,N,F,0-15
Pb,Pb-210,Arashina,Curcuma longa,Rhizomes,1.00E-01,1.20E+01,1.20E+02,India,"Dakshina Kannada District, Karnataka State",Am,N,F,0-15
Pb,Pb-210,Nachige mullu,Mimosa pudica,Whole plant,1.50E+00,5.40E+01,3.60E+01,India,"Dakshina Kannada District, Karnataka State",Am,N,F,0-15
Pb,Pb-210,Adusoge,Justicia adhatoda,Leaves,7.00E-01,3.40E+01,4.60E+01,India,"Dakshina Kannada District, Karnataka State",Am,N,F,0-15
Pb,Pb-210,Haale,Alstonia scholaris,Bark,1.10E+00,5.30E+01,4.60E+01,India,"Dakshina Kannada District, Karnataka State",Am,N,F,0-15
Pb,Pb-210,Naga sampige,Mesua ferrea,Bark,6.00E-01,4.70E+01,7.20E+01,India,"Dakshina Kannada District, Karnataka State",Am,N,F,0-15
Pb,Pb-210,Enjeeru,Calycopteris floribunda,Leaves,1.00E+00,6.00E+01,5.90E+01,India,"Dakshina Kannada District, Karnataka State",Am,N,F,0-15
Pb,Pb-210,Kottemullu,Ziziphus rugosa,Bark,5.00E-01,3.10E+01,6.30E+01,India,"Dakshina Kannada District, Karnataka State",Am,N,F,0-15
Ra,Ra-226,"Asian pigeonwings, butterfly pea",Clitoria ternatea,Flowers,9.00E-02,2.80E+00,3.20E+01,Thailand,Sukhothai,Aw,N,F,20-Oct
Ra,Ra-226,Ylang-Ylang,Cananga odorata,Flowers,1.10E-01,3.10E+00,2.80E+01,Thailand,Nakhon Sawan,Aw,N,F,20-Oct
Ra,Ra-226,Cassumunar ginger,Zingiber montanum,Rhizomes,1.70E-01,3.70E+00,2.10E+01,Thailand,Bangkok,Aw,N,F,20-Oct
Ra,Ra-226,"Chinese ginger, Chinese keys, fingerroot",Boesenbergia rotunda,Rhizomes,1.20E-01,3.00E+00,2.60E+01,Thailand,Nakhon Nayok,Aw,N,F,20-Oct
Ra,Ra-226,Yanang,Tiliacora triandra,Leaves,3.10E-01,8.50E+00,2.70E+01,Thailand,Suphanburi,Aw,N,F,20-Oct
Ra,Ra-226,Green chiretta,Andrographis paniculata,Leaves,3.40E-01,7.50E+00,2.20E+01,Thailand,Nakhon Pathom,Aw,N,F,20-Oct
K,K-40,"Asian pigeonwings, butterfly pea",Clitoria ternatea,Flowers,1.50E+00,6.30E+02,4.20E+02,Thailand,Sukhothai,Aw,N,F,20-Oct
K,K-40,Ylang-Ylang,Cananga odorata,Flowers,1.50E+00,4.60E+02,3.90E+02,Thailand,Nakhon Sawan,Aw,N,F,20-Oct
K,K-40,Cassumunar ginger,Zingiber montanum,Rhizomes,2.90E+00,3.40E+02,1.20E+02,Thailand,Bangkok,Aw,N,F,20-Oct
K,K-40,"Chinese ginger, Chinese keys, fingerroot",Boesenbergia rotunda,Rhizomes,1.50E+00,3.90E+02,2.80E+02,Thailand,Nakhon Nayok,Aw,N,F,20-Oct
K,K-40,Yanang,Tiliacora triandra,Leaves,2.60E+00,9.00E+02,3.50E+02,Thailand,Suphanburi,Aw,N,F,20-Oct
K,K-40,Green chiretta,Andrographis paniculata,Leaves,2.80E+00,9.50E+02,3.40E+02,Thailand,Nakhon Pathom,Aw,N,F,20-Oct
Ra,Ra-226,Red amaranthus,Amaranthus tricolor,Leaves,2.40E-01,6.00E+00,2.50E+01,Bangladesh,"Savar Upazila (S1), Dhaka District, Dhaka Division",Aw,N,F,0-15
Ra,Ra-228,Red amaranthus,Amaranthus tricolor,Leaves,5.60E-01,2.10E+01,3.70E+01,Bangladesh,"Savar Upazila (S1), Dhaka District, Dhaka Division",Aw,N,F,0-15
K,K-40,Red amaranthus,Amaranthus tricolor,Leaves,2.60E+00,1.20E+03,4.80E+02,Bangladesh,"Savar Upazila (S1), Dhaka District, Dhaka Division",Aw,N,F,0-15
Ra,Ra-226,Elephant ears,Colocasia esculenta,Tubers,9.30E-01,1.90E+01,2.10E+01,Bangladesh,"Savar Upazila (S2), Dhaka District, Dhaka Division",Aw,N,F,0-15
Ra,Ra-228,Elephant ears,Colocasia esculenta,Tubers,3.50E-01,1.30E+01,3.70E+01,Bangladesh,"Savar Upazila (S2), Dhaka District, Dhaka Division",Aw,N,F,0-15
K,K-40,Elephant ears,Colocasia esculenta,Tubers,3.70E+00,1.50E+03,4.10E+02,Bangladesh,"Savar Upazila (S2), Dhaka District, Dhaka Division",Aw,N,F,0-15
Ra,Ra-226,Bitter gourd,Momordica charantia,Fruits,8.20E-02,2.00E+00,2.50E+01,Bangladesh,"Savar Upazila (S3), Dhaka District, Dhaka Division",Aw,N,F,0-15
Ra,Ra-228,Bitter gourd,Momordica charantia,Fruits,1.50E-01,7.00E+00,4.30E+01,Bangladesh,"Savar Upazila (S3), Dhaka District, Dhaka Division",Aw,N,F,0-15
K,K-40,Bitter gourd,Momordica charantia,Fruits,1.80E+00,7.10E+02,3.90E+02,Bangladesh,"Savar Upazila (S3), Dhaka District, Dhaka Division",Aw,N,F,0-15
Ra,Ra-226,Bind weed,Ipomoea aquatica,Leaves,4.80E-01,1.10E+01,2.30E+01,Bangladesh,"Savar Upazila (S4), Dhaka District, Dhaka Division",Aw,N,F,0-15
Ra,Ra-228,Bind weed,Ipomoea aquatica,Leaves,4.80E-01,2.20E+01,4.60E+01,Bangladesh,"Savar Upazila (S4), Dhaka District, Dhaka Division",Aw,N,F,0-15
K,K-40,Bind weed,Ipomoea aquatica,Leaves,1.30E+00,5.00E+02,4.00E+02,Bangladesh,"Savar Upazila (S4), Dhaka District, Dhaka Division",Aw,N,F,0-15
Ra,Ra-226,Snake gourd,Trichosanthes anguina,Fruits,3.00E-01,8.00E+00,2.60E+01,Bangladesh,"Savar Upazila (S5), Dhaka District, Dhaka Division",Aw,N,F,0-15
Ra,Ra-228,Snake gourd,Trichosanthes anguina,Fruits,4.00E-01,1.60E+01,4.10E+01,Bangladesh,"Savar Upazila (S5), Dhaka District, Dhaka Division",Aw,N,F,0-15
K,K-40,Snake gourd,Trichosanthes anguina,Fruits,1.60E+00,6.00E+02,3.70E+02,Bangladesh,"Savar Upazila (S5), Dhaka District, Dhaka Division",Aw,N,F,0-15
Ra,Ra-226,Jute,Corchorus capsularis,Leaves,4.60E-01,1.30E+01,2.90E+01,Bangladesh,"Manikganj District (M1), Dhaka Division",Aw,N,F,0-15
Ra,Ra-228,Jute,Corchorus capsularis,Leaves,8.10E-01,3.30E+01,4.10E+01,Bangladesh,"Manikganj District (M1), Dhaka Division",Aw,N,F,0-15
K,K-40,Jute,Corchorus capsularis,Leaves,7.40E-01,3.20E+02,4.30E+02,Bangladesh,"Manikganj District (M1), Dhaka Division",Aw,N,F,0-15
Ra,Ra-226,Green amaranthus,Amaranthus lividus,Leaves,3.40E-01,8.00E+00,2.20E+01,Bangladesh,"Manikganj District (M2), Dhaka Division",Aw,N,F,0-15
Ra,Ra-228,Green amaranthus,Amaranthus lividus,Leaves,7.00E-01,2.90E+01,4.20E+01,Bangladesh,"Manikganj District (M2), Dhaka Division",Aw,N,F,0-15
K,K-40,Green amaranthus,Amaranthus lividus,Leaves,1.80E+00,7.40E+02,4.10E+02,Bangladesh,"Manikganj District (M2), Dhaka Division",Aw,N,F,0-15
Ra,Ra-226,Pumpkin,Cucurbita maxima,Fruits,1.60E-01,5.00E+00,3.00E+01,Bangladesh,"Manikganj District (M3), Dhaka Division",Aw,N,F,0-15
Ra,Ra-228,Pumpkin,Cucurbita maxima,Fruits,6.10E-02,3.00E+00,4.30E+01,Bangladesh,"Manikganj District (M3), Dhaka Division",Aw,N,F,0-15
K,K-40,Pumpkin,Cucurbita maxima,Fruits,1.50E+00,6.80E+02,4.50E+02,Bangladesh,"Manikganj District (M3), Dhaka Division",Aw,N,F,0-15
Ra,Ra-226,Pumpkin,Cucurbita maxima,Leaves,1.90E-01,4.00E+00,2.30E+01,Bangladesh,"Manikganj District (M4), Dhaka Division",Aw,N,F,0-15
Ra,Ra-228,Pumpkin,Cucurbita maxima,Leaves,1.20E-01,4.00E+00,3.40E+01,Bangladesh,"Manikganj District (M4), Dhaka Division",Aw,N,F,0-15
K,K-40,Pumpkin,Cucurbita maxima,Leaves,1.90E+00,7.10E+02,3.70E+02,Bangladesh,"Manikganj District (M4), Dhaka Division",Aw,N,F,0-15
Ra,Ra-226,Wax gourd,Benincasa hispida,Fruits,8.70E-02,2.00E+00,2.60E+01,Bangladesh,"Manikganj District (M5), Dhaka Division",Aw,N,F,0-15
Ra,Ra-228,Wax gourd,Benincasa hispida,Fruits,4.20E-01,1.60E+01,3.90E+01,Bangladesh,"Manikganj District (M5), Dhaka Division",Aw,N,F,0-15
K,K-40,Wax gourd,Benincasa hispida,Fruits,1.90E+00,7.00E+02,3.60E+02,Bangladesh,"Manikganj District (M5), Dhaka Division",Aw,N,F,0-15
Ra,Ra-226,Greater galangal,Alpinia galangal,Rhizomes,2.00E-03,2.00E-01,8.40E+01,Thailand,Chiang Mai Province (1),Aw,N,F,0-20
Th,Th-232,Greater galangal,Alpinia galangal,Rhizomes,8.00E-03,1.10E+00,1.40E+02,Thailand,Chiang Mai Province (1),Aw,N,F,0-20
K,K-40,Greater galangal,Alpinia galangal,Rhizomes,6.60E-01,7.70E+02,1.20E+03,Thailand,Chiang Mai Province (1),Aw,N,F,0-20
Ra,Ra-226,Greater galangal,Alpinia galangal,Leaves,1.40E-02,1.20E+00,8.40E+01,Thailand,Chiang Mai Province (1),Aw,N,F,0-20
Th,Th-232,Greater galangal,Alpinia galangal,Leaves,8.00E-03,1.10E+00,1.40E+02,Thailand,Chiang Mai Province (1),Aw,N,F,0-20
K,K-40,Greater galangal,Alpinia galangal,Leaves,9.00E-01,1.00E+03,1.20E+03,Thailand,Chiang Mai Province (1),Aw,N,F,0-20
Ra,Ra-226,Greater galangal,Alpinia galangal,Rhizomes,<0.002,<0.2,8.80E+01,Thailand,Chiang Mai Province (2),Aw,N,F,0-20
Th,Th-232,Greater galangal,Alpinia galangal,Rhizomes,4.00E-03,6.00E-01,1.60E+02,Thailand,Chiang Mai Province (2),Aw,N,F,0-20
K,K-40,Greater galangal,Alpinia galangal,Rhizomes,5.40E-01,6.00E+02,1.10E+03,Thailand,Chiang Mai Province (2),Aw,N,F,0-20
Ra,Ra-226,Greater galangal,Alpinia galangal,Stems,1.10E-02,1.00E+00,8.80E+01,Thailand,Chiang Mai Province (2),Aw,N,F,0-20
Th,Th-232,Greater galangal,Alpinia galangal,Stems,4.00E-03,7.00E-01,1.60E+02,Thailand,Chiang Mai Province (2),Aw,N,F,0-20
K,K-40,Greater galangal,Alpinia galangal,Stems,9.50E-01,1.10E+03,1.10E+03,Thailand,Chiang Mai Province (2),Aw,N,F,0-20
Ra,Ra-226,Greater galangal,Alpinia galangal,Leaves,<0.002,<0.2,8.80E+01,Thailand,Chiang Mai Province (2),Aw,N,F,0-20
Th,Th-232,Greater galangal,Alpinia galangal,Leaves,<0.001,<0.1,1.60E+02,Thailand,Chiang Mai Province (2),Aw,N,F,0-20
K,K-40,Greater galangal,Alpinia galangal,Leaves,5.60E-01,6.20E+02,1.10E+03,Thailand,Chiang Mai Province (2),Aw,N,F,0-20
Ra,Ra-226,Greater galangal,Alpinia galangal,Rhizomes,5.00E-03,4.00E-01,7.50E+01,Thailand,Chiang Rai Province (1),Aw,N,F,0-20
Th,Th-232,Greater galangal,Alpinia galangal,Rhizomes,6.00E-03,2.00E-01,2.70E+01,Thailand,Chiang Rai Province (1),Aw,N,F,0-20
K,K-40,Greater galangal,Alpinia galangal,Rhizomes,3.50E+00,2.10E+02,5.80E+01,Thailand,Chiang Rai Province (1),Aw,N,F,0-20
Ra,Ra-226,Greater galangal,Alpinia galangal,Stems,<0.002,<0.2,7.50E+01,Thailand,Chiang Rai Province (1),Aw,N,F,0-20
Th,Th-232,Greater galangal,Alpinia galangal,Stems,1.60E-02,4.00E-01,2.70E+01,Thailand,Chiang Rai Province (1),Aw,N,F,0-20
K,K-40,Greater galangal,Alpinia galangal,Stems,7.90E+00,4.60E+02,5.80E+01,Thailand,Chiang Rai Province (1),Aw,N,F,0-20
Ra,Ra-226,Greater galangal,Alpinia galangal,Rhizomes,<0.002,<0.2,2.70E+01,Thailand,Chiang Rai Province (2),Aw,N,F,0-20
Th,Th-232,Greater galangal,Alpinia galangal,Rhizomes,3.60E-02,1.50E+00,4.20E+01,Thailand,Chiang Rai Province (2),Aw,N,F,0-20
K,K-40,Greater galangal,Alpinia galangal,Rhizomes,3.10E-01,2.90E+02,9.60E+02,Thailand,Chiang Rai Province (2),Aw,N,F,0-20
Ra,Ra-226,Greater galangal,Alpinia galangal,Stems,<0.002,<0.2,2.70E+01,Thailand,Chiang Rai Province (2),Aw,N,F,0-20
Th,Th-232,Greater galangal,Alpinia galangal,Stems,6.10E-02,2.60E+00,4.20E+01,Thailand,Chiang Rai Province (2),Aw,N,F,0-20
K,K-40,Greater galangal,Alpinia galangal,Stems,2.60E-01,2.50E+02,9.60E+02,Thailand,Chiang Rai Province (2),Aw,N,F,0-20
Ra,Ra-226,Greater galangal,Alpinia galangal,Leaves,7.30E-02,2.00E+00,2.70E+01,Thailand,Chiang Rai Province (2),Aw,N,F,0-20
Th,Th-232,Greater galangal,Alpinia galangal,Leaves,1.00E-02,4.00E-01,4.20E+01,Thailand,Chiang Rai Province (2),Aw,N,F,0-20
K,K-40,Greater galangal,Alpinia galangal,Leaves,2.90E-01,2.80E+02,9.60E+02,Thailand,Chiang Rai Province (2),Aw,N,F,0-20
Ra,Ra-226,Greater galangal,Alpinia galangal,Stems,<0.002,<0.2,6.10E+01,Thailand,Chiang Rai Province (3),Aw,N,F,0-20
Th,Th-232,Greater galangal,Alpinia galangal,Stems,<0.001,<0.1,6.50E+01,Thailand,Chiang Rai Province (3),Aw,N,F,0-20
K,K-40,Greater galangal,Alpinia galangal,Stems,2.20E+00,1.10E+03,5.20E+02,Thailand,Chiang Rai Province (3),Aw,N,F,0-20
Ra,Ra-226,Greater galangal,Alpinia galangal,Rhizomes,<0.002,<0.2,2.50E+01,Thailand,Lampang Province (1),Aw,N,F,0-20
Th,Th-232,Greater galangal,Alpinia galangal,Rhizomes,2.00E-03,1.00E-01,3.90E+01,Thailand,Lampang Province (1),Aw,N,F,0-20
K,K-40,Greater galangal,Alpinia galangal,Rhizomes,1.20E+00,6.20E+02,5.30E+02,Thailand,Lampang Province (1),Aw,N,F,0-20
Ra,Ra-226,Greater galangal,Alpinia galangal,Stems,3.00E-02,8.00E-01,2.50E+01,Thailand,Lampang Province (1),Aw,N,F,0-20
Th,Th-232,Greater galangal,Alpinia galangal,Stems,9.00E-03,4.00E-01,3.90E+01,Thailand,Lampang Province (1),Aw,N,F,0-20
K,K-40,Greater galangal,Alpinia galangal,Stems,3.00E+00,1.60E+03,5.30E+02,Thailand,Lampang Province (1),Aw,N,F,0-20
Ra,Ra-226,Greater galangal,Alpinia galangal,Leaves,<0.002,<0.2,2.50E+01,Thailand,Lampang Province (1),Aw,N,F,0-20
Th,Th-232,Greater galangal,Alpinia galangal,Leaves,1.00E-02,4.00E-01,3.90E+01,Thailand,Lampang Province (1),Aw,N,F,0-20
K,K-40,Greater galangal,Alpinia galangal,Leaves,4.00E+00,2.10E+03,5.30E+02,Thailand,Lampang Province (1),Aw,N,F,0-20
Ra,Ra-226,Greater galangal,Alpinia galangal,Rhizomes,<0.002,<0.2,2.60E+01,Thailand,Lampang Province (2),Aw,N,F,0-20
Th,Th-232,Greater galangal,Alpinia galangal,Rhizomes,4.00E-03,2.00E-01,4.60E+01,Thailand,Lampang Province (2),Aw,N,F,0-20
K,K-40,Greater galangal,Alpinia galangal,Rhizomes,6.20E+00,6.10E+02,9.80E+01,Thailand,Lampang Province (2),Aw,N,F,0-20
Ra,Ra-226,Greater galangal,Alpinia galangal,Rhizomes,<0.002,<0.2,4.40E+01,Thailand,Lampang Province (3),Aw,N,F,0-20
Th,Th-232,Greater galangal,Alpinia galangal,Rhizomes,2.00E-03,2.00E-01,7.40E+01,Thailand,Lampang Province (3),Aw,N,F,0-20
K,K-40,Greater galangal,Alpinia galangal,Rhizomes,1.10E+00,6.80E+02,6.10E+02,Thailand,Lampang Province (3),Aw,N,F,0-20
Ra,Ra-226,Greater galangal,Alpinia galangal,Stems,<0.002,<0.2,4.40E+01,Thailand,Lampang Province (3),Aw,N,F,0-20
Th,Th-232,Greater galangal,Alpinia galangal,Stems,3.30E-02,2.50E+00,7.40E+01,Thailand,Lampang Province (3),Aw,N,F,0-20
K,K-40,Greater galangal,Alpinia galangal,Stems,3.70E+00,2.20E+03,6.10E+02,Thailand,Lampang Province (3),Aw,N,F,0-20
Ra,Ra-226,Greater galangal,Alpinia galangal,Rhizomes,<0.002,<0.2,4.20E+01,Thailand,Lampang Province (4),Aw,N,F,0-20
Th,Th-232,Greater galangal,Alpinia galangal,Rhizomes,5.00E-03,3.00E-01,5.50E+01,Thailand,Lampang Province (4),Aw,N,F,0-20
K,K-40,Greater galangal,Alpinia galangal,Rhizomes,3.60E+00,5.50E+02,1.50E+02,Thailand,Lampang Province (4),Aw,N,F,0-20
Ra,Ra-226,Greater galangal,Alpinia galangal,Rhizomes,<0.002,<0.2,4.10E+01,Thailand,Phayao Province,Aw,N,F,0-20
Th,Th-232,Greater galangal,Alpinia galangal,Rhizomes,1.20E-02,6.00E-01,5.20E+01,Thailand,Phayao Province,Aw,N,F,0-20
K,K-40,Greater galangal,Alpinia galangal,Rhizomes,1.20E+00,3.70E+02,3.10E+02,Thailand,Phayao Province,Aw,N,F,0-20
Ra,Ra-226,Greater galangal,Alpinia galangal,Stems,<0.002,<0.2,4.10E+01,Thailand,Phayao Province,Aw,N,F,0-20
Th,Th-232,Greater galangal,Alpinia galangal,Stems,5.00E-03,3.00E-01,5.20E+01,Thailand,Phayao Province,Aw,N,F,0-20
K,K-40,Greater galangal,Alpinia galangal,Stems,1.40E+00,4.40E+02,3.10E+02,Thailand,Phayao Province,Aw,N,F,0-20
